4 In Love,1001個願望,2001,BMG (索尼體系),索尼,輕快 / 流行,女聲 (團體),,,,,,,,,,,,,,,,
王力宏,大城小愛,2005,Sony BMG,索尼,輕快,男聲,,,,,,,,,,,,,,,,
王力宏,心中的日月,2004,Sony BMG,索尼,快歌,男聲,,,,,,,,,,,,,,,,
王力宏,如果你聽見我的歌,2000,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
王力宏,你不在,2003,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
王力宏,我們的歌,2007,Sony BMG,索尼,輕快搖滾,男聲,,,,,,,,,,,,,,,,
王力宏,依然愛你,2009,Sony BMG,索尼,抒情,男聲,,,,,,,,,,,,,,,,
王力宏,放開你的心,2004,Sony BMG,索尼,快歌,男聲,,,,,,,,,,,,,,,,
王力宏,花田錯,2005,Sony BMG,索尼,快歌,男聲,,,,,,,,,,,,,,,,
王力宏,唯一,2001,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
王力宏,愛的就是你,2001,索尼音樂,索尼,輕快,男聲,,,,,,,,,,,,,,,,
王力宏,愛錯,2004,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
王力宏,落葉歸根,2007,Sony BMG,索尼,抒情,男聲,,,,,,,,,,,,,,,,
王力宏,Kiss Goodbye,2005,Sony BMG,索尼,抒情,男聲,,,,,,,,,,,,,,,,
王力宏,W-H-Y,2003,索尼音樂,索尼,快歌,男聲,,,,,,,,,,,,,,,,
王心凌,心電心,2009,金牌大風,索尼,快歌 / 舞曲,女聲,,,,,,,,,,,,,,,,
可米小子,青春紀念冊,2003,索尼音樂,索尼,快歌,男聲 (團體),,,,,,,,,,,,,,,,
伍思凱,一九九九,2003,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
李玟,真情人,2000,索尼音樂,索尼,快歌,女聲,,,,,,,,,,,,,,,,
李玟,真愛冒險,2000,索尼音樂,索尼,快歌,女聲,,,,,,,,,,,,,,,,
李玟,暗示,2000,索尼音樂,索尼,抒情,女聲,,,,,,,,,,,,,,,,
言承旭,一公尺,2004,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
言承旭,我會很愛你,2009,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
周杰倫,七里香,2004,索尼/阿爾發,索尼,抒情搖滾,男聲,,,,,,,,,,,,,,,,
周杰倫,千里之外,2006,索尼/杰威爾,索尼,抒情,男聲,,,,,,,,,,,,,,,,
周杰倫,牛仔很忙,2007,索尼/杰威爾,索尼,快歌,男聲,,,,,,,,,,,,,,,,
周杰倫,以父之名,2003,索尼/阿爾發,索尼,快歌,男聲,,,,,,,,,,,,,,,,
周杰倫,可愛女人,2000,索尼/阿爾發,索尼,輕快 / R&B,男聲,,,,,,,,,,,,,,,,
周杰倫,回到過去,2002,索尼/阿爾發,索尼,抒情,男聲,,,,,,,,,,,,,,,,
周杰倫,安靜,2001,索尼/阿爾發,索尼,抒情,男聲,,,,,,,,,,,,,,,,
周杰倫,夜曲,2005,索尼/阿爾發,索尼,抒情,男聲,,,,,,,,,,,,,,,,
周杰倫,青花瓷,2007,索尼/杰威爾,索尼,抒情,男聲,,,,,,,,,,,,,,,,
周杰倫,威廉古堡,2001,索尼/阿爾發,索尼,快歌,男聲,,,,,,,,,,,,,,,,
周杰倫,晴天,2003,索尼/阿爾發,索尼,抒情搖滾,男聲,,,,,,,,,,,,,,,,
周杰倫,黑色幽默,2000,索尼/阿爾發,索尼,抒情,男聲,,,,,,,,,,,,,,,,
周杰倫,愛在西元前,2001,索尼/阿爾發,索尼,輕快,男聲,,,,,,,,,,,,,,,,
周杰倫,說好的幸福呢,2008,索尼/杰威爾,索尼,抒情,男聲,,,,,,,,,,,,,,,,
周杰倫,稻香,2008,索尼/杰威爾,索尼,輕快,男聲,,,,,,,,,,,,,,,,
周杰倫,龍捲風,2000,索尼/阿爾發,索尼,抒情,男聲,,,,,,,,,,,,,,,,
周杰倫,龍戰騎士,2008,索尼/杰威爾,索尼,快歌,男聲,,,,,,,,,,,,,,,,
周杰倫,簡單愛,2001,索尼/阿爾發,索尼,輕快,男聲,,,,,,,,,,,,,,,,
周杰倫,雙截棍,2001,索尼/阿爾發,索尼,快歌,男聲,,,,,,,,,,,,,,,,
周杰倫,蘭亭序,2008,索尼/杰威爾,索尼,抒情 (中國風),男聲,,,,,,,,,,,,,,,,
周杰倫,聽媽媽的話,2006,索尼/杰威爾,索尼,輕快,男聲,,,,,,,,,,,,,,,,
周傳雄,寂寞沙洲冷,2005,環球音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
周傳雄,黃昏,2000,新力音樂 (索尼),索尼,抒情,男聲,,,,,,,,,,,,,,,,
柯有倫,零,2005,索尼音樂,索尼,搖滾,男聲,,,,,,,,,,,,,,,,
柯有綸,哭笑不得,2005,索尼音樂,索尼,抒情搖滾,男聲,,,,,,,,,,,,,,,,
范瑋琪,一個像夏天一個像秋天,2006,福茂 (索尼代理),索尼,抒情,女聲,,,,,,,,,,,,,,,,
范瑋琪,我們的紀念日,2006,福茂 (索尼代理),索尼,抒情,女聲,,,,,,,,,,,,,,,,
倪子岡,Superman,2008,亞神音樂 (索尼代理),索尼,快歌 / 嘻哈,男聲,,,,,,,,,,,,,,,,
庾澄慶,春泥,2003,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
庾澄慶,海嘯,2001,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
庾澄慶,情非得已,2001,索尼音樂,索尼,輕快,男聲,,,,,,,,,,,,,,,,
庾澄慶,蛋炒飯,2003,索尼音樂,索尼,快歌,男聲,,,,,,,,,,,,,,,,
張信哲,難以抗拒你容顏,2000,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
張惠妹,維多利亞的秘密,2007,EMI (索尼代理),索尼,快歌,女聲,,,,,,,,,,,,,,,,
張懸,喜歡,2007,索尼音樂,索尼,抒情 / 民謠,女聲,,,,,,,,,,,,,,,,
張懸,寶貝,2006,索尼音樂,索尼,抒情 / 民謠,女聲,,,,,,,,,,,,,,,,
梁文音,我不是你想的那麼勇敢,2008,環球 (索尼代理),索尼,抒情,女聲,,,,,,,,,,,,,,,,
莫文蔚,如果沒有你,2006,Sony BMG,索尼,抒情,女聲,,,,,,,,,,,,,,,,
莫文蔚,陰天,2000,索尼音樂,索尼,抒情,女聲,,,,,,,,,,,,,,,,
莫文蔚,單人房雙人床,2002,索尼音樂,索尼,抒情,女聲,,,,,,,,,,,,,,,,
莫文蔚,愛,2002,索尼音樂,索尼,抒情,女聲,,,,,,,,,,,,,,,,
許茹芸,男人女人,2007,種子音樂 (華納代理),索尼,抒情,男女對唱,,,,,,,,,,,,,,,,
陳小春,下半輩子,2002,BMG (索尼體系),索尼,輕快,男聲,,,,,,,,,,,,,,,,
陳小春,我愛的人,2001,BMG (索尼體系),索尼,抒情,男聲,,,,,,,,,,,,,,,,
彭佳慧,回味,2000,BMG (索尼體系),索尼,抒情,女聲,,,,,,,,,,,,,,,,
彭佳慧,走在紅毯那一天,2002,BMG (索尼體系),索尼,抒情,女聲,,,,,,,,,,,,,,,,
彭佳慧,喜歡兩個人,2001,BMG (索尼體系),索尼,抒情,女聲,,,,,,,,,,,,,,,,
游鴻明,下沙,2000,大宇國際 (索尼代理),索尼,抒情,男聲,,,,,,,,,,,,,,,,
游鴻明,詩人的眼淚,2006,Sony BMG,索尼,抒情,男聲,,,,,,,,,,,,,,,,
游鴻明,戀上一個人,2002,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
黃義達,那女孩對我說,2005,Sony BMG,索尼,抒情,男聲,,,,,,,,,,,,,,,,
黃義達,藍天,2004,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
楊丞琳,左邊,2006,Sony BMG,索尼,抒情,女聲,,,,,,,,,,,,,,,,
楊丞琳,雨愛,2009,Sony BMG,索尼,抒情,女聲,,,,,,,,,,,,,,,,
楊丞琳,缺氧,2007,Sony BMG,索尼,抒情,女聲,,,,,,,,,,,,,,,,
楊丞琳,匿名的好友,2009,Sony BMG,索尼,抒情,女聲,,,,,,,,,,,,,,,,
楊丞琳,帶我走,2008,Sony BMG,索尼,抒情搖滾,女聲,,,,,,,,,,,,,,,,
楊丞琳,理想情人,2005,Sony BMG,索尼,輕快,女聲,,,,,,,,,,,,,,,,
楊丞琳,遇上愛,2006,Sony BMG,索尼,輕快,女聲,,,,,,,,,,,,,,,,
楊丞琳,慶祝,2006,Sony BMG,索尼,快歌,女聲,,,,,,,,,,,,,,,,
楊丞琳,曖昧,2005,Sony BMG,索尼,抒情,女聲,,,,,,,,,,,,,,,,
蜜雪薇琪,獨立,2004,BMG (索尼體系),索尼,抒情,女聲 (團體),,,,,,,,,,,,,,,,
劉畊宏,彩虹天堂,2005,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
蔡依林,天空,2005,索尼音樂,索尼,抒情,女聲,,,,,,,,,,,,,,,,
蔡依林,布拉格廣場,2003,索尼音樂,索尼,快歌,女聲,,,,,,,,,,,,,,,,
蔡依林,我的依賴,2009,華納 (索尼代理),索尼,抒情,女聲,,,,,,,,,,,,,,,,
蔡依林,招牌動作,2004,索尼音樂,索尼,快歌 / 舞曲,女聲,,,,,,,,,,,,,,,,
蔡依林,看我七十二變,2003,索尼音樂,索尼,快歌 / 舞曲,女聲,,,,,,,,,,,,,,,,
蔡依林,倒帶,2004,索尼音樂,索尼,抒情搖滾,女聲,,,,,,,,,,,,,,,,
蔡依林,特務J,2007,EMI (索尼代理),索尼,快歌 / 舞曲,女聲,,,,,,,,,,,,,,,,
蔡依林,野蠻遊戲,2005,索尼音樂,索尼,快歌,女聲,,,,,,,,,,,,,,,,
蔡依林,愛情三十六計,2004,索尼音樂,索尼,快歌 / 舞曲,女聲,,,,,,,,,,,,,,,,
蔡依林,睜一隻眼一隻眼,2005,索尼音樂,索尼,快歌 / 舞曲,女聲,,,,,,,,,,,,,,,,
蔡依林,說愛你,2003,索尼音樂,索尼,輕快,女聲,,,,,,,,,,,,,,,,
蔡依林,檸檬草的味道,2004,索尼音樂,索尼,抒情,女聲,,,,,,,,,,,,,,,,
蔡旻佑,小乖乖,2009,索尼音樂,索尼,輕快,男聲,,,,,,,,,,,,,,,,
蔡旻佑,我可以,2006,索尼音樂,索尼,抒情,男聲,,,,,,,,,,,,,,,,
盧廣仲,早安晨之美,2008,添翼/索尼代理,索尼,輕快,男聲,,,,,,,,,,,,,,,,
盧學叡,早知道．愛,2007,Sony BMG,索尼,抒情,男聲,,,,,,,,,,,,,,,,
蕭敬騰,阿飛的小蝴蝶,2009,,索尼,輕快搖滾,男聲,,,,,,,,,,,,,,,,
蕭瀟,愛要坦蕩蕩,2003,索尼音樂,索尼,輕快,女聲,,,,,,,,,,,,,,,,
戴愛玲,空港,2009,索尼音樂,索尼,抒情,女聲,,,,,,,,,,,,,,,,
蘇打綠,早點回家,2009,亞神/索尼代理,索尼,抒情,男聲,,,,,,,,,,,,,,,,
蘇打綠,藍眼睛,2007,亞神/索尼代理,索尼,抒情搖滾,男女對唱,,,,,,,,,,,,,,,,
F4,流星雨,2001,索尼音樂,索尼,抒情,男聲 (團體),,,,,,,,,,,,,,,,
F4,第一時間,2001,索尼音樂,索尼,輕快,男聲 (團體),,,,,,,,,,,,,,,,
F4,絕不能失去你,2002,索尼音樂,索尼,抒情,男聲 (團體),,,,,,,,,,,,,,,,
F4,煙火的季節,2002,索尼音樂,索尼,抒情,男聲 (團體),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
